id,txnRefNumber,amount,type
229,u4c4e43b9,191.62,refund
230,uf1261cbc,259.17,sale
231,u6c06b3d9,107.43,sale
232,u65d097a0,273.41,refund
233,u92e33c13,735.88,refund
234,ud669b974,495.6,refund
235,u5e4a869a,188.4,refund
236,u181316f7,602.41,sale
237,u904f19e3,708.66,refund
238,u69b4bb89,917.94,sale
239,u70734d9e,696.42,sale
240,u1ec87401,132.85,refund
241,u5329cc6d,156.79,sale
242,u36e26ee9,402.68,sale
243,uc60f6464,350.44,sale
244,u8362c2db,85.07,sale
245,u323f0808,944.85,sale
246,uee114963,878.64,sale
247,u045fa122,192.2,refund
248,u7bd791ca,392.86,refund
249,uffc49737,305.72,sale
250,uaadc1305,909.4,sale
251,u6b182b24,590.23,sale
252,uac9f06a6,44.85,sale
253,u19f55ae8,757.61,refund
254,u0e1836b7,749.9,refund
255,uf412d246,944.2,refund
256,ude0b2cdc,38.56,refund
257,ub87f5040,916.46,refund
258,ub924a070,982.36,refund
259,u0e09d8ce,186.28,refund
260,ub1b1d8ed,324.81,sale
261,ue29e173e,922.96,refund
262,ud3ff56ca,97.98,refund
263,u41aaca8e,474.86,sale
264,ue5d5815c,391.73,sale
265,uf3c7a7dc,780.4,refund
266,u820c56e9,164.88,refund
267,ucf219c14,976.96,sale
268,ufb8b528b,987.55,refund
269,u01cf7840,317.59,refund
270,u2e0550a4,161.12,refund
271,u70b5f90a,702.81,sale
272,uc0768b16,732.37,sale
273,u5c2806cc,22.87,sale
274,uc7a1d7f7,244.82,sale
275,u839c78e5,783.63,refund
276,ufacdf199,833.49,refund
277,uab1ca862,605.74,refund
278,u7a67cea5,532.11,refund
279,ua6e7f047,709.7,sale
280,udac1b34e,966.67,refund
281,ue59c058f,275.19,refund
282,u5f1c0847,785.0,sale
283,u9b05666b,506.69,sale
284,u595e6988,269.66,sale
285,u7ff6d69c,313.11,sale
286,ud382d8e6,54.7,refund
287,ufc77debd,479.55,refund
288,u4fe17b8e,287.96,sale
289,u8ef28752,862.69,refund
290,uf13b1279,415.07,refund
291,uca97b394,284.09,refund
292,u31006c3e,324.79,refund
293,u9d41c10b,306.45,sale
294,u52acc233,888.29,sale
295,ue5ed9fb0,636.1,refund
296,u99957577,461.24,refund
297,u5418076b,76.08,sale
298,uf618f78b,322.59,sale
299,u0c70b400,752.31,sale
300,u41c30a6d,165.39,sale
301,u44cacad4,106.77,refund
302,udfd42544,358.11,sale
303,u60cca11b,914.8,refund
304,ub20f7933,504.34,sale
305,ud24ec338,946.63,sale
306,u125be18f,624.75,refund
307,u38131c12,421.89,sale
308,u065f0560,331.16,sale
309,u5f2ad1a0,12.77,refund
310,uc4d803ea,227.96,refund
311,ua89f04b7,470.19,sale
312,u395e35e5,62.51,refund
313,u85af8095,780.43,refund
314,ufcfb0fc6,94.5,refund
315,u5b624e88,165.1,sale
316,u44c7a7d1,407.11,refund
317,u9b3542e3,788.83,sale
318,u4fb32f35,204.03,refund
319,u5d69b98a,657.15,sale
320,ufe616477,402.02,sale
321,u8ec01e99,424.5,sale
322,ub0aa2338,577.69,sale
323,uefb23e69,422.45,sale
324,u35e4f349,324.11,refund
325,u45481685,631.74,refund
326,u4eb65e2b,636.2,sale
327,ua3411ca9,69.27,sale
328,u5bfb0db0,728.32,sale
329,u23bf4e1a,295.35,sale
330,u18dabfd6,165.69,sale
331,ua2125f05,518.36,sale
332,uf92df00b,378.33,sale
333,ud9ba8187,160.47,refund
334,u06de38ff,360.07,refund
335,u1db56a2d,70.18,refund
336,u68d0fefe,264.51,refund
337,u709b9952,724.5,refund
338,u3fc71a4f,243.67,sale
339,uff0c6a0f,222.21,sale
340,ua7255542,705.6,sale
341,ud01e3b73,392.23,sale
342,u7ee5a978,605.91,sale
343,ub2e3caad,352.56,refund
344,ucad272eb,9.81,sale
345,u03a3a383,106.95,sale
346,u5af648e9,658.52,sale
347,u4c5cd51b,76.86,refund
348,u813f8b8c,945.66,refund
349,u94ece52e,96.95,sale
350,u38a4a5b2,470.52,refund
351,u22e7054a,832.42,refund
352,u924015ab,615.6,refund
353,ua4641150,309.33,refund
354,uff010f26,562.02,refund
355,ua9d5b7ae,676.48,sale
356,u0d2ba679,529.05,refund
357,ue5d739d7,603.07,sale
358,ue401d5ee,82.83,refund
359,u42a0c314,199.55,sale
360,u03d3807e,667.4,sale
361,u78c5edab,428.35,refund
362,ua75338bb,308.65,refund
363,u636b7007,95.83,sale
364,ud4c25d9d,164.98,sale
365,uea5a6c71,700.81,sale
366,u76e7c642,535.51,sale
367,ud2f42ee6,449.14,refund
368,uf399928d,867.16,refund
369,uf25fcd73,45.1,sale
370,u68df9e99,183.52,refund
371,u1bcb722e,327.64,sale
372,ucbc2f3d6,410.54,sale
373,u5f793ed1,491.72,sale
374,ub038c492,411.09,refund
375,u46b88ead,103.96,refund
376,u4e017fff,409.2,sale
377,u25a8e4a5,498.99,refund
378,u2169a752,266.86,sale
379,u9e2828bf,465.54,refund
380,u496238d8,963.91,sale
381,u2cef9767,824.56,refund
382,udd43164d,262.86,refund
383,ua80d5bc9,235.26,refund
384,ud23bd41c,759.94,sale
385,u8f538897,424.31,refund
386,ud5af5508,147.29,refund
387,u32dd2b7f,868.44,sale
388,u01082413,360.2,refund
389,ue34b66b7,176.3,sale
390,u673bfc6a,626.59,refund
391,ub3d198ac,713.93,refund
392,u11224824,851.82,refund
393,u5f764e0b,819.08,sale
394,u2df19da0,631.31,refund
395,uc736d744,758.83,refund
396,u8f3ade0d,575.16,sale
397,ub5e26613,399.43,sale
398,ued9789ae,316.6,sale
399,u409fbc6a,124.65,refund
400,u025d83b6,377.51,sale
401,u75cfd6a1,924.58,sale
402,uc8005b5a,852.5,refund
403,u59ae0913,157.14,refund
404,u7fae7dc6,539.66,refund
405,ud3d75014,738.33,sale
406,u7a53af9c,169.89,sale
407,u8e8c44da,890.41,sale
408,u9602b9d7,229.58,sale
409,ua55e8934,484.7,refund
410,u7af9c6ef,156.06,refund
411,u29a80564,150.48,refund
412,ue196a7a2,650.64,refund
413,uce90ae0d,638.89,sale
414,uc5ec3fa3,15.33,refund
415,u03cf5ca3,427.17,refund
416,uc04de535,971.36,refund
417,u442843e2,551.75,refund
418,u1875b695,583.41,refund
419,uaa60470a,817.82,refund
420,ua9b4aaa2,184.52,refund
421,ud129c8c9,553.52,refund
422,uef8ebe9a,799.46,refund
423,uc782ff88,720.7,refund
424,u31df5910,840.3,sale
425,u2e1ea0e7,384.74,refund
426,u6fc8f93b,351.51,refund
427,uaccc5a0b,835.13,refund
428,ub6708efa,680.93,sale
429,u43291c93,732.05,refund
430,u7b5fcb6d,101.64,refund
431,uc56cbf1a,60.51,sale
432,u7ff1bb9f,196.43,sale
433,uadb1831d,624.33,sale
434,u1ec0fa76,550.64,refund
435,u14d1656d,887.13,refund
436,u8b546516,605.78,refund
437,u12e6a7f8,530.53,refund
438,uffe37a2a,916.63,refund
439,ua9c2cd13,212.2,refund
440,ued2b92ef,313.89,refund
441,u31f463b8,166.34,refund
442,u9ce79565,554.3,refund
443,u64579897,836.41,refund
444,uc7b1714a,136.24,sale
445,u1eecd719,684.92,refund
446,uf103d221,265.87,sale
447,u554615bd,616.62,sale
448,ueedadef4,654.11,sale
449,u55d810bb,893.99,sale
450,u0c6065b3,327.59,refund
451,ucdb7d338,913.68,sale
452,u3059ba76,373.7,sale
453,uc5a0ac21,580.6,refund
454,u1ec5b355,998.72,refund
455,u3ca09212,640.47,refund
456,u0c10b33d,598.86,refund
457,u5042be49,469.73,refund
458,u564fc560,251.13,sale
459,u15556992,697.42,sale
460,uc5f7c051,308.74,sale
461,u00a6f59e,974.08,sale
462,u178b71b4,17.32,sale
463,u482f0bbf,28.65,sale
464,u97f4ffed,536.72,sale
465,ucb47db0d,938.82,sale
466,u92c87c19,468.79,refund
467,uc1784827,271.89,sale
468,u245053b2,482.97,refund
469,u46510997,484.86,refund
470,ueef2c80f,795.2,refund
471,ubef1ef57,284.19,refund
472,u70037358,605.37,sale
473,u4568417e,93.84,sale
474,ub0913fa4,504.81,refund
475,ub133204e,457.68,sale
476,u63a192cb,123.78,sale
477,udf0e9edf,27.21,sale
478,u90b135e0,550.29,sale
479,u0c9dc78a,378.89,refund
480,u4b461853,136.24,refund
481,u06e26f40,267.84,refund
482,ubb118236,52.24,sale
483,u7985ba91,775.63,sale
484,u07b980f0,679.29,refund
485,ub58170e4,98.59,sale
486,u5bc7aa86,837.31,sale
487,u2b752816,483.65,refund
488,u387b677f,122.73,refund
489,u0870632b,554.12,refund
490,u58f25948,290.09,sale
491,u466c9bb9,750.16,sale
492,u303b44e3,437.59,refund
493,u6bc2bfe5,283.02,refund
494,uc81206b6,468.7,sale
495,u83848802,922.1,sale
496,u1fd9f13e,886.97,refund
497,u566f3a0f,842.8,sale
498,u198863a8,647.3,refund
499,ufa3a7dc9,961.53,sale
500,ue5f1569f,194.01,refund
501,ub5fdd880,480.0,refund
502,u44dd58d3,777.93,refund
503,u7d3450ce,514.52,refund
504,udd658971,326.86,sale
505,ua2d32861,113.83,sale
506,u83f38c63,416.28,sale
507,ufc0e8501,768.17,refund
508,u7a001380,219.58,sale
509,u965cf628,470.43,refund
510,uc35f8f2b,917.31,refund
511,uc2548645,509.48,sale
512,u32ac414d,572.35,refund
513,udb48351f,58.8,sale
514,u17c82b2c,802.46,sale
515,ud34b4802,679.33,sale
516,u127ba878,662.4,refund
517,u46a4e2a6,142.06,sale
518,uc3ee364f,532.53,refund
519,u15fa81e7,13.39,refund
520,uf06ab3a9,63.24,sale
521,u540c42b5,924.28,sale
522,u8272b6aa,486.09,sale
523,u3ebde7ab,730.14,refund
524,u105ac6ca,398.52,refund
525,ua857789b,733.2,sale
526,ub2b405f5,360.36,sale
527,u1007f9a0,630.96,sale
528,ueb016230,737.38,refund
529,u25843697,493.38,sale
530,u67f7895c,923.82,sale
531,ue4238cc8,153.04,sale
532,uc3f148db,414.49,refund
533,u2c0dd9fe,219.58,refund
534,u2bb26319,669.51,sale
535,u4f0fc497,300.83,refund
536,uff4aa45d,568.98,refund
537,u0bb995ee,659.39,sale
538,u501eca82,191.69,refund
539,u04960860,520.11,sale
540,ub08f6898,138.71,refund
541,u41ddc904,51.93,refund
542,u1e169366,792.53,refund
543,u86e35cc9,36.75,refund
544,udb1d7929,238.73,sale
545,u033053df,534.25,sale
546,u341b6b94,309.78,refund
547,u09e948d3,889.89,sale
548,uc9a882a9,85.71,sale
549,udf9df7a0,16.29,sale
550,ub7bf2682,212.36,sale
551,u99ea1a96,617.29,refund
552,ua78263db,706.38,refund
553,u5b6c3d1e,34.81,refund
554,u8fb7a673,353.85,refund
555,ue7979f2a,231.68,sale
556,u7dfa0370,775.27,sale
557,u888d1cfe,313.5,sale
558,ua37d8837,15.75,sale
559,uf5be4830,724.89,refund
560,uda3feded,584.79,sale
561,ue8fa515b,598.43,refund
562,ue7046005,158.75,refund
563,u012dff12,921.28,sale
564,u160c5c88,480.94,refund
565,u0748107a,181.41,refund
566,u5a1605db,264.91,refund
567,ucf471d30,732.32,sale
568,ufa85863a,286.94,sale
569,u24763055,469.3,sale
570,uba8d2aa7,3.12,sale
571,ueea2e438,124.89,refund
572,u8a40675d,22.36,refund
573,u0b3a734e,497.2,refund
574,ueea4cc3d,412.82,sale
575,u9798f781,653.18,refund
576,ue41cd9f6,420.07,sale
577,u7a6df61f,97.74,refund
578,uc642c85e,652.13,sale
579,u4dc526f2,968.92,sale
580,uf1849d0f,465.72,refund
581,u461e7724,645.91,refund
582,u9dafefa9,770.16,sale
583,u94723e79,74.88,refund
584,u45d00396,41.07,refund
585,uf693be86,853.04,sale
586,u51b80c41,668.84,refund
587,u68fcd51b,609.35,sale
588,u01de41bc,810.25,refund
589,u022e2b07,480.65,refund
590,u29374ee5,706.92,refund
591,uc74d568c,972.56,refund
592,u32aa57ba,742.56,refund
593,u5356cf00,43.03,sale
594,u276e55fa,102.75,refund
595,u33371efa,792.09,refund
596,u72b5f21b,826.36,sale
597,uc47ab0d0,164.32,sale
598,u4e60197a,109.05,refund
599,u708bc6ae,894.88,refund
600,ue3ae76dc,196.66,refund
601,u1e9b32d5,691.23,refund
602,ua2bd1dcf,431.18,sale
603,u01481711,277.48,refund
604,u46c59683,306.46,refund
605,uc1513b5b,939.72,refund
606,u69eef9ef,816.15,refund
607,u185fb2f4,620.23,refund
608,ubdd5d42f,919.28,sale
609,u6c93a502,397.65,sale
610,u5e360c86,982.6,refund
611,u2504f758,449.5,sale
612,u9e5ca5f6,887.2,refund
613,uc5be5f26,277.76,refund
614,u45b27855,510.4,sale
615,u1a91a980,376.22,refund
616,uce659f07,897.56,sale
617,uf08b01e2,874.23,refund
618,uf6588f0d,634.08,refund
619,ud7568f2e,556.42,sale
620,u7cff0fa2,987.26,sale
621,u0647b0a5,360.16,sale
622,u45f30f92,483.1,refund
623,u51bb6c4b,763.11,refund
624,ud33821c0,788.91,refund
625,u3b0c8222,901.97,sale
626,uf0333d4b,638.75,sale
627,u84f5d6b1,649.58,refund
628,ud591c41a,919.81,sale
629,u037eceb1,3.09,refund
630,ud6dea792,675.7,sale
631,ud1bca218,722.21,refund
632,u9ba13e22,288.26,refund
633,u9f6222a1,699.7,refund
634,uc981ce49,31.52,sale
635,u48a808eb,387.06,refund
636,u9930e34f,239.76,refund
637,u2d46d1f2,949.35,sale
638,u2a49e9f0,337.45,refund
639,ub732a647,599.03,sale
640,u84943984,584.17,sale
641,u8f8aaaf3,481.97,refund
642,u8a85bd04,558.49,refund
643,u0e48ddcb,632.36,sale
644,u4279c1a1,853.51,sale
645,ua93dd16b,431.59,refund
646,ufbc51f6f,933.85,refund
647,u20340aa0,3.72,sale
648,u1e40bf07,934.37,sale
649,u8897421a,812.56,refund
650,u0be7be3d,919.08,refund
651,u1d1c2f8a,765.75,refund
652,u02c58c65,592.7,sale
653,u188a0595,675.5,sale
654,u0681cd57,827.4,sale
655,u94f25024,263.18,sale
656,ucadd5125,109.96,sale
657,ufea5fd2c,386.44,sale
658,u8f4e7b29,617.23,sale
659,u2a24fa19,34.04,refund
660,u5354a236,337.82,refund
661,ud4475c51,242.24,refund
662,uefadc39d,5.14,sale
663,ua6c66579,659.41,refund
664,uae2048a6,556.95,refund
665,u42aaa639,251.94,sale
666,u5bb21290,298.97,refund
667,uc262ea5d,751.36,refund
668,u709199ee,572.8,refund
669,uf86721ae,700.37,refund
670,uebc0fa31,164.57,refund
671,u9e145966,80.16,sale
672,u325c41a4,193.42,sale
673,u712f2cd6,634.04,sale
674,u02677c18,325.61,sale
675,uc1c5afd6,416.9,refund
676,ufa157a58,990.69,sale
677,u5725b4d6,51.68,sale
678,u637ad9ff,898.7,sale
679,uc93bed57,614.69,sale
680,u162cde96,755.41,sale
681,u08e95a08,30.48,sale
682,u70b648f2,467.19,refund
683,ubd807fa0,169.35,sale
684,u43529e71,717.48,sale
685,ub3f3138f,847.22,refund
686,u5c3becdc,94.36,sale
687,u4a63732d,424.56,sale
688,u2cd098f2,235.01,refund
689,u1b27839c,193.9,refund
690,uc133431d,393.22,sale
691,u9891ea57,362.95,refund
692,uc2079167,269.44,refund
693,u60c08461,807.14,refund
694,uebb2789d,279.99,refund
695,uce83ee98,813.25,sale
696,u8dbaf55d,612.99,sale
697,u0dd05a19,398.74,sale
698,ua8c02c2a,34.1,sale
699,u1b4df0df,607.0,sale
700,uf856c21b,231.86,sale
701,u0b4eb624,964.1,sale
702,u2fbd75a7,745.84,sale
703,udf4a46fc,506.58,refund
704,u72cbc032,572.87,sale
705,u5230cb44,476.19,sale
706,u108af17b,265.69,sale
707,ue4db97c1,464.25,sale
708,u2ba8d3e0,971.5,sale
709,uac6f32af,640.14,refund
710,ua651e4f2,336.87,sale
711,u917a0cb7,282.2,refund
712,u3c68ffae,75.29,refund
713,u78e1ed36,817.2,sale
714,u2580fe3a,274.93,refund
715,u907869f9,227.39,refund
716,uc13d1c6b,395.88,sale
717,u69c62fae,77.91,sale
718,u39e226c2,492.92,refund
719,ua03d7309,589.64,refund
720,u590bdd0d,39.82,sale
721,ub2a59ab1,858.03,sale
722,u67f5b005,5.3,refund
723,u661c01ec,371.76,refund
724,ua15ce315,182.4,sale
725,u68e9d821,551.23,refund
726,ue3f555d7,999.92,refund
727,uf8693448,539.38,sale
728,u686d7ec2,171.5,sale
729,uc314cd97,671.67,sale
730,u53495cc7,179.14,sale
731,ua50ac4d3,874.24,refund
732,u3b9bf080,627.48,sale
733,ud18f5f9f,518.13,refund
734,u30a957c8,441.81,refund
735,u4420dd90,878.12,sale
736,u27cc319d,319.38,refund
737,udef2a163,781.01,sale
738,u1d8a0acb,570.86,refund
739,u3e6b78ae,59.05,refund
740,ud09dc229,79.89,refund
741,uec4dbbb5,245.93,sale
742,u789b9d68,164.33,sale
743,ue64a2102,981.19,refund
744,u82135b88,710.87,sale
745,u518e922c,465.32,refund
746,ub666a580,77.76,refund
747,u5ae0ceb8,83.17,sale
748,ud2e2fda6,4.19,refund
749,ua59495fa,520.24,sale
750,u93a302cd,583.87,sale
751,u241213ee,484.17,sale
752,u3d6234c5,821.14,sale
753,u7c740132,52.64,sale
754,uf4b0e754,765.36,refund
755,ua94bbc50,302.5,sale
756,u4d89bdba,889.78,refund
757,uf618e6ba,384.93,refund
758,ubbb8ac4a,464.12,sale
759,u16a98c5e,529.68,sale
760,u9b73ec34,650.86,refund
761,u19ca1ea6,499.33,sale
762,u81a73dca,618.65,sale
763,ua93cc44f,221.6,sale
764,u0704b967,354.44,refund
765,u2b0a0cf3,941.8,sale
766,ua6f5a6c3,282.6,sale
767,u42efbcd5,992.29,sale
768,u9fdf613f,683.89,refund
769,ucd866fbf,697.23,refund
770,u9dcddcb8,205.11,sale
771,u0c70a7dd,593.1,sale
772,u8d390414,644.18,sale
773,u904aec95,951.6,sale
774,u982ced59,933.88,refund
775,ue89f9938,815.27,refund
776,u4d267284,799.29,sale
777,u7b6b4813,891.96,refund
778,uf3c327bf,444.19,refund
779,ue8cfe8f9,341.79,sale
780,u616ffc30,316.41,refund
781,u0b1b3b03,734.51,sale
782,u57a9f5eb,935.11,refund
783,u43da5ff4,391.02,refund
784,u5212a2ab,310.24,sale
785,u7b177bde,122.05,sale
786,u880d823b,137.05,refund
787,ud39cc180,899.82,refund
788,ue65adee0,247.98,sale
789,udcbc7def,837.57,sale
790,ua702a082,12.77,sale
791,u0840385b,938.42,refund
792,ucc397080,408.55,sale
793,u29116c25,107.72,refund
794,u2f16b61c,414.98,refund
795,ued1309d4,244.87,refund
796,u42e8c784,932.39,refund
797,u34e47f12,391.06,refund
798,u2fa8c633,430.16,sale
799,u893c8f3c,82.64,refund
800,u32bdf920,16.79,sale
801,uf3b81c3a,893.45,refund
802,u1bc476f9,66.6,sale
803,ueedc0c9f,257.18,sale
804,uaf6e45b6,393.35,refund
805,ufb968791,510.25,refund
806,uf3b861da,878.78,sale
807,u9f4ab6fe,804.47,refund
808,u48c1dc66,885.21,sale
809,ud899dacd,664.83,refund
810,u20329a75,25.39,sale
811,u5b5aec61,842.98,refund
812,u260a37da,38.43,refund
813,u79e7c476,909.45,refund
814,u48700217,420.99,sale
815,u548be318,307.55,sale
816,u9ec1117a,490.74,refund
817,u73b64b03,974.56,sale
818,u64b946ea,970.23,refund
819,ua3832e95,245.54,refund
820,uea09cf52,794.87,refund
821,u6aea5e3a,359.47,refund
822,ud5233883,600.86,sale
823,u80f3fdde,660.65,refund
824,ubcfc1f19,246.72,sale
825,uac563ae9,550.32,refund
826,u39b0b33e,145.47,sale
827,u60040e61,309.75,sale
828,ub29e5b4a,738.73,sale
829,ucd9efa90,943.56,sale
830,u66fe9b36,912.36,refund
831,ube598924,914.73,sale
832,u7a18ea28,766.43,refund
833,u838e1f69,718.23,refund
834,u72e37b29,686.11,sale
835,u4d4f9dc6,400.83,refund
836,u2a68d87b,941.59,sale
837,u92ee45c1,816.03,sale
838,uadbba70a,476.21,sale
839,u98a4869c,249.35,refund
840,u4317e978,889.02,refund
841,u39f90e1a,285.9,sale
842,u1800edd9,236.17,sale
843,u2aef127d,348.83,sale
844,u53e0ba8a,671.97,sale
845,ufcffb3ab,376.27,refund
846,ube8b7040,277.65,sale
847,uc5e16cb9,865.11,sale
848,uf7ce06ad,311.21,refund
849,u804735d8,98.9,sale
850,uffc4c0eb,776.45,refund
851,u4f03e20a,637.02,sale
